gender,parental level of education,lunch,test preparation course,math score,reading score,writing score,family income,study hours 
male,bachelor's degree,standard,completed,80,78,81,Medium,11.0
female,some high school,standard,completed,61,74,72,High,18.0
female,master's degree,standard,none,62,68,68,High,9.0
female,associate's degree,standard,none,47,49,50,Low,6.0
male,high school,free/reduced,none,49,45,45,Low,19.0
male,some college,free/reduced,completed,50,47,54,Medium,11.0
male,associate's degree,standard,none,72,64,63,Medium,9.0
male,high school,free/reduced,none,42,39,34,Low,7.0
female,some college,standard,none,73,80,82,Medium,10.0
female,some college,free/reduced,none,76,83,88,Medium,20.0
female,associate's degree,standard,none,71,71,74,Medium,
female,some college,standard,none,58,70,67,High,14.0
female,some high school,standard,none,73,86,82,Medium,16.0
female,bachelor's degree,standard,none,65,72,74,Medium,14.0
male,high school,free/reduced,none,27,34,36,Medium,16.0
male,high school,standard,none,71,79,71,High,17.0
male,associate's degree,free/reduced,completed,43,45,50,Low,18.0
female,some college,standard,none,79,86,92,High,17.0
male,associate's degree,free/reduced,completed,78,81,82,Medium,17.0
male,some high school,standard,completed,65,66,62,Medium,16.0
female,some college,standard,completed,63,72,70,Medium,14.0
female,some college,free/reduced,none,58,67,62,Low,9.0
female,bachelor's degree,standard,none,65,67,62,Medium,10.0
male,some college,standard,none,79,67,67,Medium,7.0
male,bachelor's degree,standard,completed,68,74,74,High,5.0
female,associate's degree,standard,none,85,91,89,Low,12.0
male,high school,standard,completed,60,44,47,Low,8.0
male,some college,standard,completed,98,86,90,Low,5.0
female,some college,standard,none,58,67,72,Medium,12.0
female,master's degree,standard,none,87,100,100,High,14.0
male,associate's degree,standard,completed,66,63,64,Low,9.0
female,associate's degree,free/reduced,none,52,76,70,Low,14.0
female,some high school,standard,none,70,64,72,Medium,20.0
female,associate's degree,free/reduced,completed,77,89,98,Low,12.0
male,high school,standard,none,62,55,49,Low,18.0
male,associate's degree,standard,none,54,53,47,Medium,19.0
female,some college,standard,none,51,58,54,Medium,
female,bachelor's degree,standard,completed,99,100,100,High,14.0
male,high school,standard,none,84,77,74,High,12.0
female,bachelor's degree,free/reduced,none,75,85,82,Low,6.0
female,bachelor's degree,standard,none,78,82,79,Low,11.0
female,some high school,standard,none,51,63,61,High,17.0
female,some college,standard,none,55,69,65,Low,15.0
female,bachelor's degree,standard,completed,79,92,89,Low,11.0
male,associate's degree,standard,completed,91,89,92,Medium,14.0
female,some college,standard,completed,88,93,93,Low,11.0
male,high school,free/reduced,none,63,57,56,Medium,15.0
male,some college,standard,none,83,80,73,High,9.0
female,high school,standard,none,87,95,86,Low,9.0
male,some high school,standard,none,72,68,67,Medium,11.0
male,some college,standard,completed,65,77,74,Low,19.0
male,master's degree,standard,none,82,82,74,High,8.0
female,bachelor's degree,standard,none,51,49,51,Medium,12.0
male,master's degree,standard,none,89,84,82,Low,16.0
male,some high school,free/reduced,completed,53,37,40,Low,9.0
male,some college,free/reduced,completed,87,74,70,Low,13.0
female,some college,standard,completed,75,81,84,Low,6.0
male,bachelor's degree,free/reduced,completed,74,79,75,Low,5.0
male,bachelor's degree,standard,none,58,55,48,Low,10.0
male,some high school,standard,completed,51,54,41,Low,17.0
male,high school,standard,none,70,55,56,Medium,
female,associate's degree,standard,none,59,66,67,Low,
male,some college,standard,completed,71,61,69,High,12.0
female,some high school,standard,none,76,72,71,Medium,
female,some college,free/reduced,none,59,62,64,Low,8.0
female,some college,free/reduced,completed,42,55,54,Low,16.0
male,high school,standard,none,57,43,47,High,10.0
male,some college,standard,none,88,73,78,Low,12.0
female,some college,free/reduced,none,22,39,33,Low,20.0
male,some high school,standard,none,88,84,75,Low,18.0
male,associate's degree,free/reduced,none,73,68,66,Medium,13.0
female,bachelor's degree,standard,completed,68,75,81,Medium,6.0
male,associate's degree,free/reduced,completed,100,100,93,Low,8.0
male,some high school,standard,completed,62,67,69,Low,12.0
male,bachelor's degree,standard,none,77,67,68,Low,5.0
female,associate's degree,standard,completed,59,70,66,Low,5.0
male,bachelor's degree,standard,none,54,49,47,Low,20.0
male,some high school,standard,none,62,67,61,Low,
female,some college,standard,completed,70,89,88,Medium,8.0
female,high school,free/reduced,completed,66,74,78,Medium,12.0
male,some college,free/reduced,none,60,60,60,Medium,15.0
female,associate's degree,standard,completed,61,86,87,Medium,14.0
male,associate's degree,free/reduced,none,66,62,64,Low,13.0
male,associate's degree,free/reduced,completed,82,78,74,Medium,17.0
female,some college,free/reduced,completed,75,88,85,Medium,
male,master's degree,free/reduced,none,49,53,52,Medium,15.0
male,high school,standard,none,52,53,49,High,18.0
female,master's degree,standard,none,81,92,91,High,17.0
female,bachelor's degree,standard,completed,96,100,100,Low,6.0
male,high school,free/reduced,completed,53,51,51,Medium,11.0
female,master's degree,free/reduced,completed,58,76,78,Low,
female,high school,standard,completed,68,83,78,Medium,13.0
female,some college,free/reduced,completed,67,75,70,Medium,19.0
male,high school,standard,completed,72,73,74,High,14.0
male,some high school,standard,none,94,88,78,Medium,
female,some college,standard,none,79,86,81,Medium,14.0
female,associate's degree,standard,none,63,67,70,Low,20.0
female,bachelor's degree,free/reduced,completed,43,51,54,Medium,15.0
female,master's degree,standard,completed,81,91,87,Low,8.0
female,high school,free/reduced,completed,46,54,58,Low,8.0
female,associate's degree,standard,completed,71,77,77,Medium,
female,master's degree,free/reduced,completed,52,70,62,High,13.0
female,some high school,standard,completed,97,100,100,High,
male,master's degree,free/reduced,completed,62,68,75,Medium,18.0
female,some college,free/reduced,none,46,64,66,Low,6.0
female,high school,standard,none,50,50,47,Medium,16.0
female,associate's degree,standard,none,65,69,70,Low,20.0
male,some high school,free/reduced,completed,45,52,49,Low,8.0
male,associate's degree,free/reduced,completed,65,67,65,Low,
male,high school,standard,none,80,76,65,High,10.0
male,some high school,standard,completed,62,66,68,Medium,19.0
male,some high school,free/reduced,none,48,52,45,Low,18.0
female,bachelor's degree,standard,none,77,88,87,High,
female,associate's degree,standard,none,66,65,69,Medium,7.0
male,some college,standard,completed,76,83,79,Medium,8.0
female,some high school,standard,none,62,64,66,Medium,13.0
male,some college,standard,completed,77,62,62,High,10.0
female,master's degree,standard,completed,69,84,85,Low,
male,associate's degree,standard,none,61,55,52,High,17.0
male,some high school,free/reduced,completed,59,69,65,Low,7.0
male,high school,free/reduced,none,55,56,51,High,18.0
female,some college,free/reduced,none,45,53,55,Medium,13.0
female,bachelor's degree,free/reduced,none,78,79,76,Medium,17.0
female,associate's degree,standard,completed,67,84,86,High,9.0
female,some college,free/reduced,none,65,81,77,Low,14.0
male,associate's degree,standard,none,69,77,69,Medium,13.0
female,associate's degree,standard,none,57,69,68,High,11.0
male,some college,standard,none,59,41,42,High,15.0
male,some high school,standard,completed,74,71,78,Low,6.0
male,bachelor's degree,standard,none,82,62,62,Low,6.0
male,high school,standard,completed,81,80,76,Medium,14.0
female,some college,free/reduced,none,74,81,76,Medium,19.0
female,some college,free/reduced,none,58,61,66,Medium,
male,some high school,free/reduced,completed,80,79,79,Medium,16.0
male,some college,free/reduced,none,35,28,27,Medium,16.0
female,high school,free/reduced,none,42,62,60,Low,
male,associate's degree,free/reduced,completed,60,51,56,Medium,11.0
male,high school,standard,completed,87,91,81,Medium,20.0
male,some high school,standard,completed,84,83,75,Medium,8.0
female,associate's degree,free/reduced,completed,83,86,88,Low,19.0
female,high school,free/reduced,none,34,42,39,Medium,16.0
male,high school,free/reduced,none,66,77,70,High,6.0
male,some high school,standard,completed,61,56,56,Medium,8.0
female,high school,standard,completed,56,68,74,Medium,14.0
male,associate's degree,standard,none,87,85,73,Low,10.0
female,some high school,free/reduced,none,55,65,62,Medium,16.0
male,some high school,standard,none,86,80,75,Medium,5.0
female,associate's degree,standard,completed,52,66,73,Medium,6.0
female,master's degree,free/reduced,none,45,56,54,High,7.0
female,some college,standard,none,72,72,71,Medium,11.0
male,high school,standard,none,57,50,54,Medium,13.0
male,some high school,free/reduced,none,68,72,64,Low,5.0
female,some college,standard,completed,88,95,94,Medium,15.0
male,some college,standard,none,76,64,66,Low,12.0
male,associate's degree,standard,none,46,43,42,Low,8.0
female,bachelor's degree,standard,none,67,86,83,Low,5.0
male,some high school,standard,none,92,87,78,Low,13.0
male,bachelor's degree,standard,completed,83,82,84,Medium,19.0
male,associate's degree,standard,none,80,75,77,Medium,5.0
male,bachelor's degree,free/reduced,none,63,66,67,Medium,5.0
female,some high school,standard,completed,64,60,74,Medium,9.0
male,some college,standard,none,54,52,51,Medium,14.0
male,associate's degree,standard,none,84,80,80,Medium,8.0
male,high school,free/reduced,completed,73,68,66,Medium,11.0
female,bachelor's degree,standard,none,80,83,83,High,
female,high school,standard,none,56,52,55,Medium,18.0
male,some college,standard,none,59,51,43,Medium,7.0
male,some high school,standard,none,75,74,69,Low,11.0
male,associate's degree,standard,none,85,76,71,Medium,14.0
male,associate's degree,standard,none,89,76,74,Medium,5.0
female,high school,standard,completed,58,70,68,Low,10.0
female,high school,standard,none,65,64,62,Medium,9.0
male,high school,standard,none,68,60,53,Medium,7.0
male,some high school,standard,completed,47,49,49,Medium,7.0
female,some college,free/reduced,none,71,83,83,High,12.0
female,some high school,standard,completed,60,70,70,Medium,11.0
male,master's degree,standard,none,80,80,72,High,15.0
male,high school,standard,none,54,52,52,Medium,6.0
female,some college,standard,none,62,73,70,Low,15.0
female,associate's degree,free/reduced,none,64,73,68,Medium,12.0
male,associate's degree,standard,completed,78,77,77,Medium,10.0
female,some college,standard,none,70,75,78,Medium,10.0
female,master's degree,free/reduced,completed,65,81,81,High,12.0
female,some high school,free/reduced,completed,64,79,77,High,16.0
male,some college,standard,completed,79,79,78,Low,9.0
female,some high school,free/reduced,none,44,50,51,Low,10.0
female,high school,standard,none,99,93,90,Medium,8.0
male,high school,standard,none,76,73,68,Low,19.0
male,some high school,free/reduced,none,59,42,41,High,16.0
female,bachelor's degree,standard,none,63,75,81,High,17.0
female,high school,standard,none,69,72,77,Medium,17.0
female,associate's degree,standard,completed,88,92,95,High,13.0
female,some college,free/reduced,none,71,76,70,High,10.0
male,bachelor's degree,standard,none,69,63,61,High,11.0
male,some college,standard,none,58,49,42,Medium,19.0
female,associate's degree,free/reduced,none,47,53,58,Low,12.0
female,some college,standard,none,65,70,71,Low,15.0
male,some college,standard,completed,88,85,76,Low,6.0
male,bachelor's degree,standard,none,83,78,73,Medium,12.0
female,some high school,standard,completed,85,92,93,Low,
female,high school,standard,completed,59,63,75,Low,15.0
female,some high school,free/reduced,none,65,86,80,Medium,14.0
male,bachelor's degree,free/reduced,none,73,56,57,Low,17.0
male,high school,standard,none,53,52,42,High,7.0
male,high school,standard,none,45,48,46,High,17.0
female,bachelor's degree,free/reduced,none,73,79,84,Medium,17.0
female,some college,free/reduced,completed,70,78,78,High,
female,some high school,standard,none,37,46,46,Medium,18.0
male,associate's degree,standard,completed,81,82,82,High,11.0
male,associate's degree,standard,completed,97,82,88,High,20.0
female,some high school,standard,none,67,89,82,Low,13.0
male,bachelor's degree,free/reduced,none,88,75,76,Medium,12.0
male,some high school,standard,completed,77,76,77,Medium,14.0
male,associate's degree,standard,none,76,70,68,Low,
male,some high school,standard,none,86,73,70,Medium,19.0
male,some high school,standard,completed,63,60,57,Low,7.0
female,bachelor's degree,standard,none,65,73,75,Medium,11.0
male,high school,free/reduced,completed,78,77,80,Medium,14.0
male,associate's degree,free/reduced,none,67,62,60,High,10.0
male,some high school,standard,completed,46,41,43,Medium,15.0
male,associate's degree,standard,completed,71,74,68,Medium,20.0
male,high school,free/reduced,completed,40,46,50,Low,7.0
male,associate's degree,free/reduced,none,90,87,75,Medium,7.0
male,some college,free/reduced,completed,81,78,81,Low,18.0
male,some high school,free/reduced,none,56,54,52,High,12.0
female,associate's degree,standard,completed,67,84,81,Low,9.0
male,associate's degree,standard,none,80,76,64,Low,8.0
female,associate's degree,standard,completed,74,75,83,Medium,
male,some college,standard,none,69,67,69,High,15.0
male,some college,standard,completed,99,87,81,Low,12.0
male,some high school,standard,none,51,52,44,Low,9.0
female,associate's degree,free/reduced,none,53,71,67,High,19.0
female,high school,free/reduced,none,49,57,52,Low,16.0
female,associate's degree,standard,none,73,76,80,Medium,
male,bachelor's degree,standard,none,66,60,57,Low,18.0
male,bachelor's degree,standard,completed,67,61,68,Low,16.0
female,associate's degree,free/reduced,completed,68,67,69,Low,6.0
female,bachelor's degree,standard,completed,59,64,75,Medium,15.0
male,high school,standard,none,71,66,65,Medium,17.0
female,master's degree,standard,completed,77,82,91,Low,16.0
male,associate's degree,standard,none,83,72,78,Low,7.0
male,bachelor's degree,standard,none,63,71,69,High,5.0
female,associate's degree,free/reduced,none,56,65,63,Medium,6.0
female,high school,free/reduced,completed,67,79,84,Medium,14.0
female,high school,standard,none,75,86,79,Low,11.0
female,some college,standard,none,71,81,80,Low,16.0
female,some high school,free/reduced,none,43,53,53,Low,10.0
female,high school,free/reduced,none,41,46,43,Medium,17.0
female,some college,standard,none,82,90,94,Low,19.0
male,some college,standard,none,61,61,62,Medium,7.0
male,some college,free/reduced,none,28,23,19,Medium,20.0
male,associate's degree,standard,completed,82,75,77,Medium,19.0
female,some high school,standard,none,41,55,51,Low,6.0
male,high school,standard,none,71,60,61,Medium,10.0
male,associate's degree,standard,none,47,37,35,Low,16.0
male,associate's degree,standard,completed,62,56,53,Low,15.0
male,associate's degree,standard,none,90,78,81,Low,10.0
female,bachelor's degree,standard,none,83,93,95,Medium,12.0
female,some college,free/reduced,none,61,68,66,Medium,7.0
male,some high school,standard,completed,76,70,69,Medium,20.0
male,associate's degree,standard,none,49,51,43,Medium,6.0
female,some high school,free/reduced,none,24,38,27,High,19.0
female,some high school,free/reduced,completed,35,55,60,Medium,8.0
male,high school,free/reduced,none,58,61,52,Low,6.0
female,high school,standard,none,61,73,63,Medium,8.0
female,high school,standard,completed,69,76,74,Low,11.0
male,associate's degree,standard,completed,67,72,67,Low,
male,some college,standard,none,79,73,67,Low,9.0
female,high school,standard,none,72,80,75,Medium,6.0
male,some college,standard,none,62,61,57,Medium,6.0
female,bachelor's degree,standard,completed,77,94,95,Medium,
male,high school,free/reduced,none,75,74,66,Medium,8.0
male,associate's degree,standard,none,87,74,76,Low,7.0
female,bachelor's degree,standard,none,52,65,69,Medium,6.0
male,some college,standard,none,66,57,52,Medium,16.0
female,some college,standard,completed,63,78,80,Medium,12.0
female,associate's degree,standard,none,46,58,57,Low,20.0
female,some college,standard,none,59,71,70,High,
female,bachelor's degree,standard,none,61,72,70,Low,5.0
male,associate's degree,standard,none,63,61,61,Medium,16.0
female,some college,free/reduced,completed,42,66,69,Low,8.0
male,some college,free/reduced,none,59,62,61,High,20.0
female,some college,standard,none,80,90,89,Medium,20.0
female,high school,standard,none,58,62,59,Low,5.0
male,some high school,standard,completed,85,84,78,Medium,
female,some college,standard,none,52,58,58,Low,11.0
female,some high school,free/reduced,none,27,34,32,Low,20.0
male,some college,standard,none,59,60,58,Medium,16.0
male,bachelor's degree,free/reduced,completed,49,58,60,Medium,10.0
male,high school,standard,completed,69,58,53,Low,
male,bachelor's degree,free/reduced,none,61,66,61,Medium,17.0
female,some high school,free/reduced,none,44,64,58,Medium,11.0
female,some high school,standard,none,73,84,85,Low,12.0
male,some college,standard,none,84,77,71,Medium,13.0
female,some college,free/reduced,completed,45,73,70,Medium,7.0
male,some high school,standard,none,74,74,72,Medium,10.0
female,some college,standard,completed,82,97,96,High,15.0
female,bachelor's degree,standard,none,59,70,73,Low,11.0
male,associate's degree,free/reduced,none,46,43,41,Medium,14.0
female,some high school,standard,none,80,90,82,Low,18.0
female,master's degree,free/reduced,completed,85,95,100,Low,16.0
female,some high school,standard,none,71,83,77,High,15.0
male,bachelor's degree,standard,none,66,64,62,High,6.0
female,associate's degree,standard,none,80,86,83,Medium,
male,associate's degree,standard,completed,87,100,95,Low,17.0
male,master's degree,free/reduced,none,79,81,71,Low,7.0
female,some high school,free/reduced,none,38,49,45,Medium,12.0
female,some high school,free/reduced,none,38,43,43,Medium,
female,some college,standard,none,67,76,75,Medium,18.0
female,bachelor's degree,standard,none,64,73,70,Medium,5.0
female,associate's degree,free/reduced,none,57,78,67,Low,5.0
female,high school,standard,none,62,64,64,Low,10.0
male,master's degree,standard,none,73,70,75,Low,15.0
male,some high school,free/reduced,completed,73,67,59,Low,13.0
female,some college,standard,none,77,68,77,Low,14.0
male,some college,standard,none,76,67,67,Low,8.0
male,associate's degree,standard,completed,57,54,56,Medium,15.0
female,some high school,standard,completed,65,74,77,High,18.0
male,high school,free/reduced,none,48,45,41,Medium,10.0
female,high school,free/reduced,none,50,67,63,Medium,8.0
female,associate's degree,standard,none,85,89,95,Medium,
male,some high school,standard,none,74,63,57,Medium,8.0
male,some high school,standard,none,60,59,54,Low,5.0
female,some high school,standard,completed,59,54,67,Medium,7.0
male,some college,standard,none,53,43,43,Medium,19.0
female,some college,free/reduced,none,49,65,55,Medium,10.0
female,high school,standard,completed,88,99,100,Medium,16.0
female,high school,standard,none,54,59,62,High,10.0
female,some high school,standard,none,63,73,68,Medium,
male,associate's degree,standard,completed,65,65,63,High,
female,associate's degree,standard,none,82,80,77,Medium,17.0
female,high school,free/reduced,completed,52,57,56,Low,5.0
male,associate's degree,standard,completed,87,84,85,Medium,19.0
female,master's degree,standard,completed,70,71,74,High,10.0
male,some college,standard,completed,84,83,78,Medium,20.0
male,associate's degree,standard,none,71,66,60,High,19.0
male,some high school,standard,completed,63,67,67,Low,18.0
female,bachelor's degree,free/reduced,completed,51,72,79,Low,13.0
male,high school,standard,none,84,73,69,Low,
male,bachelor's degree,standard,completed,71,74,68,Medium,
male,associate's degree,standard,none,74,73,67,Low,11.0
male,some college,standard,none,68,59,62,High,11.0
male,high school,free/reduced,completed,57,56,54,Medium,7.0
female,associate's degree,free/reduced,completed,82,93,93,Low,5.0
female,high school,standard,completed,57,58,64,Low,18.0
female,master's degree,free/reduced,completed,47,58,67,Medium,14.0
female,some high school,standard,completed,59,85,80,High,10.0
male,some college,free/reduced,none,41,39,34,Low,14.0
female,some college,free/reduced,none,62,67,62,Medium,
male,bachelor's degree,standard,none,86,83,86,Low,19.0
male,some high school,free/reduced,none,69,71,65,Low,9.0
male,some high school,free/reduced,none,65,59,53,Medium,14.0
male,some high school,free/reduced,none,68,63,54,High,13.0
male,associate's degree,free/reduced,none,64,66,59,High,12.0
female,high school,standard,none,61,72,70,Medium,10.0
male,high school,standard,none,61,56,55,Low,12.0
female,some high school,free/reduced,none,47,59,50,Low,10.0
male,some high school,standard,none,73,66,66,Medium,8.0
male,some college,free/reduced,completed,50,48,53,Low,6.0
male,associate's degree,standard,none,75,68,64,Medium,15.0
male,associate's degree,free/reduced,none,75,66,73,Low,14.0
male,high school,standard,none,70,56,51,High,
male,some high school,standard,completed,89,88,82,Low,8.0
female,some college,standard,completed,67,81,79,Medium,12.0
female,high school,standard,none,78,81,80,Low,20.0
female,some high school,free/reduced,none,59,73,69,Low,16.0
female,associate's degree,standard,none,73,83,76,Medium,
male,some high school,free/reduced,none,79,82,73,Medium,
female,some high school,standard,completed,67,74,77,Low,19.0
male,some college,free/reduced,none,69,66,60,High,14.0
male,high school,standard,completed,86,81,80,Medium,14.0
male,high school,standard,none,47,46,42,High,13.0
male,associate's degree,standard,none,81,73,72,Low,
female,some college,free/reduced,completed,64,85,85,Low,13.0
female,some college,standard,none,100,92,97,High,17.0
female,associate's degree,free/reduced,none,65,77,74,Medium,7.0
male,some college,free/reduced,none,65,58,49,Low,
female,associate's degree,free/reduced,none,53,61,62,Medium,11.0
male,bachelor's degree,free/reduced,none,37,56,47,Medium,14.0
female,bachelor's degree,standard,none,79,89,89,Low,15.0
male,associate's degree,free/reduced,none,53,54,48,Medium,5.0
female,bachelor's degree,standard,none,100,100,100,Medium,10.0
male,high school,standard,completed,72,65,68,Medium,5.0
male,bachelor's degree,free/reduced,none,53,58,55,Medium,5.0
male,some college,free/reduced,none,54,54,45,Medium,20.0
female,some college,standard,none,71,70,76,Medium,
female,some college,free/reduced,none,77,90,91,High,6.0
male,bachelor's degree,standard,completed,75,58,62,High,14.0
female,some college,standard,none,84,87,91,Medium,10.0
female,associate's degree,free/reduced,none,26,31,38,Low,13.0
male,high school,free/reduced,completed,72,67,65,Low,16.0
female,high school,free/reduced,completed,77,88,85,Medium,6.0
male,some college,standard,none,91,74,76,Low,5.0
female,associate's degree,standard,completed,83,85,90,Low,5.0
female,high school,standard,none,63,69,74,Medium,
female,associate's degree,standard,completed,68,86,84,High,5.0
female,some high school,standard,none,59,67,61,Low,7.0
female,associate's degree,standard,completed,90,90,91,Low,10.0
female,bachelor's degree,standard,completed,71,76,83,Low,14.0
male,bachelor's degree,standard,completed,76,62,66,Low,14.0
male,associate's degree,standard,none,80,68,72,High,16.0
female,master's degree,standard,none,55,64,70,Low,13.0
male,associate's degree,standard,none,76,71,67,Medium,6.0
male,high school,standard,completed,73,71,68,Low,9.0
female,associate's degree,free/reduced,none,52,59,56,Low,13.0
male,some college,free/reduced,none,68,68,61,Low,11.0
male,high school,standard,none,59,52,46,Low,13.0
female,associate's degree,standard,none,49,52,54,Low,5.0
male,high school,standard,none,70,74,71,Low,7.0
male,some college,free/reduced,none,61,47,56,Medium,13.0
female,associate's degree,free/reduced,none,60,75,74,Low,13.0
male,some high school,standard,completed,64,53,57,Low,
male,associate's degree,free/reduced,completed,79,82,82,Low,11.0
female,associate's degree,free/reduced,none,65,85,76,Medium,15.0
female,associate's degree,standard,none,64,64,70,Low,8.0
female,some college,standard,none,83,83,90,Medium,7.0
female,bachelor's degree,standard,none,81,88,90,Low,17.0
female,high school,standard,none,54,64,68,Low,14.0
male,high school,standard,completed,68,64,66,Medium,6.0
female,some college,standard,none,54,48,52,Medium,8.0
female,some college,free/reduced,completed,59,78,76,Low,6.0
female,some high school,standard,none,66,69,68,Medium,17.0
male,some college,standard,none,76,71,72,Medium,20.0
female,master's degree,standard,none,74,79,82,Low,17.0
female,associate's degree,standard,completed,94,87,92,Low,11.0
male,some college,free/reduced,none,63,61,54,Medium,12.0
female,associate's degree,standard,completed,95,89,92,High,15.0
female,master's degree,free/reduced,none,40,59,54,High,5.0
female,some high school,standard,none,82,82,80,Medium,19.0
male,high school,standard,none,68,70,66,Medium,
male,bachelor's degree,free/reduced,none,55,59,54,Medium,
male,master's degree,standard,none,79,78,77,High,12.0
female,bachelor's degree,standard,none,86,92,87,Low,11.0
male,some college,standard,none,76,71,73,Medium,13.0
male,some high school,standard,none,64,50,43,Medium,9.0
male,some high school,free/reduced,none,62,49,52,Low,9.0
female,some high school,standard,completed,54,61,62,High,10.0
female,master's degree,free/reduced,completed,77,97,94,Low,9.0
female,some high school,standard,completed,76,87,85,High,12.0
female,some college,standard,none,74,89,84,Low,19.0
female,some college,standard,completed,66,74,73,High,18.0
female,some high school,standard,completed,66,78,78,Low,14.0
female,high school,free/reduced,completed,67,78,79,Medium,6.0
male,some college,standard,none,71,49,52,Low,5.0
female,associate's degree,standard,none,91,86,84,Low,7.0
male,bachelor's degree,standard,none,69,58,57,High,7.0
male,master's degree,free/reduced,none,54,59,50,Medium,12.0
male,high school,standard,completed,53,52,49,Medium,19.0
male,some college,standard,none,68,60,59,High,12.0
male,some high school,free/reduced,completed,56,61,60,Medium,5.0
female,high school,free/reduced,none,36,53,43,Medium,
female,bachelor's degree,free/reduced,none,29,41,47,Medium,18.0
female,associate's degree,standard,none,62,74,70,Low,20.0
female,associate's degree,standard,completed,68,67,73,Low,
female,some high school,standard,none,47,54,53,Medium,7.0
male,associate's degree,standard,completed,62,61,58,High,10.0
female,associate's degree,standard,completed,79,88,94,Medium,19.0
male,high school,standard,completed,73,69,68,Medium,19.0
female,bachelor's degree,free/reduced,completed,66,83,83,Medium,14.0
